CONSTANT,LIQUIDITY_POOL_USD_SIZE_AT,LIQUIDITY_POOL_VINCI_SIZE_AT,LIQUIDITY_POOL_USD_SIZE,LIQUIDITY_POOL_VINCI_SIZE,VINCI_TRADED,TRADE_VOLUME_USD,NEW_PRICE,PRICE_IMPACT
3375000000000.0,435765.00968366687,7745000.0,450000.0,7500000.0,-245000.0,14700,0.05626404256729075,-0.06226595721182082
3375000000000.0,435671.25645438896,7746666.666666667,450000.0,7500000.0,-246666.66666666698,14800,0.05623983517053214,-0.06266941382446434
3375000000000.0,435577.54355775437,7748333.333333333,450000.0,7500000.0,-248333.33333333302,14900,0.05621564339312812,-0.06307261011453125
3375000000000.0,435483.87096774194,7750000.0,450000.0,7500000.0,-250000.0,15000,0.05619146722164412,-0.06347554630593122
3375000000000.0,435390.23865835305,7751666.666666667,450000.0,7500000.0,-251666.66666666698,15100,0.056167306642660036,-0.06387822262233267
3375000000000.0,435296.64660361136,7753333.333333333,450000.0,7500000.0,-253333.33333333302,15200,0.05614316164277017,-0.06428063928716388
3375000000000.0,435203.0947775629,7755000.0,450000.0,7500000.0,-255000.0,15300,0.05611903220858322,-0.06468279652361297
3375000000000.0,435109.5831542759,7756666.666666667,450000.0,7500000.0,-256666.66666666698,15400,0.05609491832672229,-0.06508469455462851
3375000000000.0,435016.11170784105,7758333.333333333,450000.0,7500000.0,-258333.33333333302,15500,0.05607081998382484,-0.06548633360291922
3375000000000.0,434922.6804123711,7760000.0,450000.0,7500000.0,-260000.0,15600,0.05604673716654267,-0.06588771389095549
3375000000000.0,434829.28924200125,7761666.666666667,450000.0,7500000.0,-261666.66666666698,15700,0.056022669861541925,-0.06628883564096788
3375000000000.0,434735.9381708888,7763333.333333333,450000.0,7500000.0,-263333.333333333,15800,0.05599861805550307,-0.06668969907494882
3375000000000.0,434642.6271732131,7765000.0,450000.0,7500000.0,-265000.0,15900,0.055974581735120814,-0.06709030441465302
3375000000000.0,434549.35622317594,7766666.666666667,450000.0,7500000.0,-266666.666666667,16000,0.0559505608871042,-0.06749065188159664
3375000000000.0,434456.1252950011,7768333.333333333,450000.0,7500000.0,-268333.333333333,16100,0.055926555498176496,-0.06789074169705833
3375000000000.0,434362.9343629344,7770000.0,450000.0,7500000.0,-270000.0,16200,0.05590256555507521,-0.06829057408207984
3375000000000.0,434269.7834012438,7771666.666666667,450000.0,7500000.0,-271666.666666667,16300,0.05587859104455206,-0.06869014925746564
3375000000000.0,434176.6723842196,7773333.333333333,450000.0,7500000.0,-273333.333333333,16400,0.05585463195337302,-0.06908946744378297
3375000000000.0,434083.6012861736,7775000.0,450000.0,7500000.0,-275000.0,16500,0.05583068826831815,-0.06948852886136414
3375000000000.0,433990.5700814402,7776666.666666667,450000.0,7500000.0,-276666.666666667,16600,0.055806759976181765,-0.06988733373030387
3375000000000.0,433897.57874437544,7778333.333333333,450000.0,7500000.0,-278333.333333333,16700,0.05578284706377229,-0.07028588227046184
3375000000000.0,433804.62724935735,7780000.0,450000.0,7500000.0,-280000.0,16800,0.05575894951791226,-0.07068417470146238
3375000000000.0,433711.71557078604,7781666.666666667,450000.0,7500000.0,-281666.666666667,16900,0.05573506732543834,-0.07108221124269432
3375000000000.0,433618.84368308354,7783333.333333333,450000.0,7500000.0,-283333.333333333,17000,0.055711200473201314,-0.07147999211331135
3375000000000.0,433526.0115606936,7785000.0,450000.0,7500000.0,-285000.0,17100,0.05568734894806598,-0.0718775175322337
3375000000000.0,433433.2191780822,7786666.666666667,450000.0,7500000.0,-286666.666666667,17200,0.05566351273691124,-0.072274787718146
3375000000000.0,433340.4665097368,7788333.333333333,450000.0,7500000.0,-288333.333333333,17300,0.05563969182663002,-0.07267180288949959
3375000000000.0,433247.75353016687,7790000.0,450000.0,7500000.0,-290000.0,17400,0.05561588620412925,-0.07306856326451239
3375000000000.0,433155.08021390374,7791666.666666667,450000.0,7500000.0,-291666.666666667,17500,0.05559209585632989,-0.07346506906116845
3375000000000.0,433062.44653550046,7793333.333333333,450000.0,7500000.0,-293333.333333333,17600,0.05556832077016687,-0.07386132049721872
3375000000000.0,432969.85246953176,7795000.0,450000.0,7500000.0,-295000.0,17700,0.05554456093258907,-0.07425731779018219
3375000000000.0,432877.29799059423,7796666.666666667,450000.0,7500000.0,-296666.666666667,17800,0.055520816330559324,-0.0746530611573446
3375000000000.0,432784.78307330626,7798333.333333333,450000.0,7500000.0,-298333.333333333,17900,0.05549708695105445,-0.07504855081575912
3375000000000.0,432692.3076923077,7800000.0,450000.0,7500000.0,-300000.0,18000,0.05547337278106509,-0.07544378698224852
3375000000000.0,432599.8718222602,7801666.666666667,450000.0,7500000.0,-301666.666666667,18100,0.055449673807595835,-0.07583876987340266
3375000000000.0,432507.4754378471,7803333.333333333,450000.0,7500000.0,-303333.333333333,18200,0.055425990017665155,-0.07623349970558069
3375000000000.0,432415.1185137732,7805000.0,450000.0,7500000.0,-305000.0,18300,0.055402321398305344,-0.07662797669491084
3375000000000.0,432322.8010247651,7806666.666666667,450000.0,7500000.0,-306666.666666667,18400,0.05537866793656257,-0.07702220105729052
3375000000000.0,432230.522945571,7808333.333333333,450000.0,7500000.0,-308333.333333333,18500,0.05535502961949682,-0.07741617300838621
3375000000000.0,432138.28425096034,7810000.0,450000.0,7500000.0,-310000.0,18600,0.055331406434181864,-0.07780989276363559
3375000000000.0,432046.08491572435,7811666.666666667,450000.0,7500000.0,-311666.666666667,18700,0.05530779836770527,-0.0782033605382455
3375000000000.0,431953.92491467576,7813333.333333333,450000.0,7500000.0,-313333.333333333,18800,0.0552842054071684,-0.07859657654719332
3375000000000.0,431861.80422264873,7815000.0,450000.0,7500000.0,-315000.0,18900,0.05526062753968634,-0.0789895410052277
3375000000000.0,431769.72281449893,7816666.666666667,450000.0,7500000.0,-316666.666666667,19000,0.05523706475238792,-0.07938225412686795
3375000000000.0,431677.6806651034,7818333.333333333,450000.0,7500000.0,-318333.333333333,19100,0.055213517032415706,-0.07977471612640485
3375000000000.0,431585.6777493606,7820000.0,450000.0,7500000.0,-320000.0,19200,0.05518998436692591,-0.08016692721790142
3375000000000.0,431493.71404219046,7821666.666666667,450000.0,7500000.0,-321666.666666667,19300,0.055166466743088484,-0.08055888761519192
3375000000000.0,431401.7895185343,7823333.333333333,450000.0,7500000.0,-323333.333333333,19400,0.055142964148087045,-0.0809505975318825
3375000000000.0,431309.90415335464,7825000.0,450000.0,7500000.0,-325000.0,19500,0.0551194765691188,-0.08134205718135323
3375000000000.0,431218.0579216354,7826666.666666667,450000.0,7500000.0,-326666.666666667,19600,0.05509600399339464,-0.08173326677675596
3375000000000.0,431126.250798382,7828333.333333333,450000.0,7500000.0,-328333.333333333,19700,0.055072546408139064,-0.08212422653101559
3375000000000.0,431034.4827586207,7830000.0,450000.0,7500000.0,-330000.0,19800,0.055049103800590124,-0.08251493665683118
